amenity_id,apt_code,yardi_amenity,yardi_amenity_code,yardi_amenity_name,amenity_amount,amenity_type,description,created_at,match,active
1,SB,ADA,ADA,ADA Handicap Access,0,fixed,Amenity for a larger 1st floor patio instead of balcony,2025-03-20 03:10:25.012436+00,true,true
2,SB,Court Yardi View,CV,Courtyard,15,fixed,,2025-03-20 03:10:25.012436+00,true,true
3,SB,1st floor vinyl UG,Vinyl UG 1,Flooring Upgrade,65,fixed,,2025-03-20 03:10:25.012436+00,true,true
4,SB,1st floor,1st floor,Level 01,75,fixed,,2025-03-20 03:10:25.012436+00,true,true
5,SB,2nd Floor Building,2nd Floor,Level 02,15,fixed,,2025-03-20 03:10:25.012436+00,true,true
6,SB,1x1 Renovation,1x1 Reno,Rent Adjustment 01,150,fixed,,2025-03-20 03:10:25.012436+00,true,true
7,SB,2x2 Renovation,2x2 Reno,Rent Adjustment 02,185,fixed,,2025-03-20 03:10:25.012436+00,true,true
8,SB,3x2 Renovation,3x2 Reno,Rent Adjustment 03,185,fixed,,2025-03-20 03:10:25.012436+00,true,true
9,RS,Level 01,1B1,1st Floor 1x1,30,fixed,,2025-03-20 03:10:25.012436+00,true,true
10,RS,Renovated Unit,1R,1x1 New Reno,75,fixed,,2025-03-20 03:10:25.012436+00,true,true
11,RS,Level 01 III,1st Flr Stdo,1st Floor Studio,20,fixed,,2025-03-20 03:10:25.012436+00,true,true
12,RS,Upgrade IX,1U,1x1 Upgrade,35,fixed,,2025-03-20 03:10:25.012436+00,true,true
13,RS,Level 01 II,2B1,1st Floor 2x2,30,fixed,,2025-03-20 03:10:25.012436+00,true,true
14,RS,Renovated Unit II,2R,2x2 New Reno,100,fixed,,2025-03-20 03:10:25.012436+00,true,true
15,RS,Upgrade X,2U,2x2 Upgrade,55,fixed,,2025-03-20 03:10:25.012436+00,true,true
16,RS,Base Level,3B1,1st Floor 3x2,35,fixed,,2025-03-20 03:10:25.012436+00,true,true
17,RS,Renovated Unit III,3R,3x2 New Reno,150,fixed,,2025-03-20 03:10:25.012436+00,true,true
