id,property_id,name,description,street_address,property_code,floor_count,primary_image_url,created_at,updated_at,stats_cache
013f3e9a-35e7-4acc-a02a-ab5d2d03606f,69233516-ae3c-4946-ae19-07813b8fe0b8,Building 4 Back West,"Building 4; Back West, 6 carports, units: 045-065; ",4225 E McDowell Rd.,RS,3,apartment/building/default.jpg,2022-09-04 15:25:19.139+00,2025-12-06 21:16:57.282261+00,"{""floor_plans"":[{""code"":""B2 2x2"",""name"":""Ironwood"",""count"":12},{""code"":""A3 1x1"",""name"":""Canyon"",""count"":12},{""code"":""B1 2x2"",""name"":""Cholla"",""count"":10},{""code"":""A2 1x1"",""name"":""Guadalupe"",""count"":7},{""code"":""A5 1x1"",""name"":""Sonara"",""count"":6},{""code"":""A4 1x1"",""name"":""Saguaro"",""count"":4},{""code"":""C1 3x2"",""name"":""Palo Verde"",""count"":3},{""code"":""A1 1x1"",""name"":""Mesquite"",""count"":3}]}"
0282fd2a-bede-4657-8642-024c3a8e74a9,548cd5c1-7fbb-487e-8d14-926bfd3cc83a,591 W. San Ysidro,"16 units of 2x2: 852 SF, Unit numbers: S160 to S176.",591 W. San Ysidro Blvd.,OB,2,apartment/building/default.jpg,2022-09-04 15:25:19.139+00,2025-12-06 21:16:57.282261+00,"{""floor_plans"":[{""code"":""2x2"",""name"":""2x2"",""count"":16}]}"
07711183-0f10-4d28-b6f4-9b2b9cd22d1d,bb8e217c-a626-4b0c-8a72-fdb9083a7a22,Building 15,"Building 15; 3 floors, 20 units: 8 units of 1x1: 916 SF; 12 units of 1x1: 707 SF, units: 1097-1104, 2097-2104, 3099-3102",575 W. Pecos Road,SB,3,apartment/building/default.jpg,2022-09-04 15:25:19.139+00,2025-12-06 21:16:57.282261+00,"{""floor_plans"":[{""code"":""A11R 1x1 Renov"",""name"":""Repose"",""count"":12},{""code"":""A3R 1x1+Den"",""name"":""Serenity"",""count"":8}]}"
21c15558-0737-44e4-ad57-896ad8c32928,69233516-ae3c-4946-ae19-07813b8fe0b8,Club House,"Club House, Business Center and Leasing Office",4225 E McDowell Rd.,RS,1,apartment/building/default.jpg,2022-09-04 15:25:19.139+00,2025-12-06 21:16:57.282261+00,{}
252092b1-d39a-425c-9f89-0ed2de93573b,bb8e217c-a626-4b0c-8a72-fdb9083a7a22,Building 6,"Building 6; 3 floors, 24 units: 12 units of 1x1: 850 SF; 12 units of 1x1: 707 SF, units: 1041-1048, 2041-2048, 3041-3048",575 W. Pecos Road,SB,3,apartment/building/default.jpg,2022-09-04 15:25:19.139+00,2025-12-06 21:16:57.282261+00,"{""floor_plans"":[{""code"":""A11R 1x1 Renov"",""name"":""Repose"",""count"":12},{""code"":""A4R 1x1"",""name"":""Splendor"",""count"":12}]}"
27fe63c5-88af-4b01-ab17-171f701db0f0,7db932f8-85e7-4bd0-9599-9a05f411b3ca,Main,main and single building,840 17th Street,CV,4,apartment/building/default.jpg,2022-09-04 15:18:44.507+00,2025-12-06 21:16:57.282261+00,"{""floor_plans"":[{""code"":""1x1 D"",""name"":""1x1 D"",""count"":45},{""code"":""2x2 B"",""name"":""2x2 B"",""count"":31},{""code"":""2x2 A"",""name"":""2x2 A"",""count"":16},{""code"":""1x1 C"",""name"":""1x1 C"",""count"":16},{""code"":""1x1 E"",""name"":""1x1 E"",""count"":8},{""code"":""1x1 F"",""name"":""1x1 F"",""count"":6}]}"
2c88aa6f-c60b-4341-984d-d53aa18d16c0,548cd5c1-7fbb-487e-8d14-926bfd3cc83a,531 W. San Ysidro,"16 units of 3x2: 1000 SF, Unit numbers: S017 to S032.",531 W. San Ysidro Blvd.,OB,2,apartment/building/default.jpg,2022-09-04 15:25:19.139+00,2025-12-06 21:16:57.282261+00,"{""floor_plans"":[{""code"":""3x2"",""name"":""3x2"",""count"":16}]}"
385ec15a-7235-4103-ba10-0306dfa56ddc,4446f2bc-a493-49e7-a675-70a6c8e7f527,474 N. Twin Oaks Valley,"8 units of 2x2: 950 SF, Unit numbers: 474-A to 474-H.",474 N. Twin Oaks Valley Rd.,WO,2,apartment/building/default.jpg,2022-09-04 15:25:19.139+00,2025-12-06 21:16:57.282261+00,"{""floor_plans"":[{""code"":""2x2"",""name"":""2x2"",""count"":8}]}"
3ded3253-9ae9-49b2-bdaf-8cb77ec856bc,548cd5c1-7fbb-487e-8d14-926bfd3cc83a,567 W. San Ysidro,"15 units of 1x1: 637 SF, Unit numbers: S098 to S112 plus a leasing office (old S097), a gym, a main laundry room, and the maintenance office, next to the pool.",567 W. San Ysidro Blvd.,OB,2,apartment/building/default.jpg,2022-09-04 15:25:19.139+00,2025-12-06 21:16:57.282261+00,"{""floor_plans"":[{""code"":""1x1"",""name"":""1x1"",""count"":15}]}"
3ed39b03-722e-4ef6-82ca-72a20f8c0e77,bb8e217c-a626-4b0c-8a72-fdb9083a7a22,Building 13,"Building 13; 2 floors, 16 units: 8 units of 2x2: 1093 SF; 8 units of 2x2: 1022 SF, units: 1081-1088, 2081-2088",575 W. Pecos Road,SB,2,apartment/building/default.jpg,2022-09-04 15:25:19.139+00,2025-12-06 21:16:57.282261+00,"{""floor_plans"":[{""code"":""B2R 2x2"",""name"":""Rejuvenate"",""count"":8},{""code"":""B1R 2x2"",""name"":""Lavish"",""count"":8}]}"
