id,property_id,code,marketing_name,yardi_layout_code,description,area_sqft,bedroom_count,bathroom_count,market_base_rent,primary_image_url,property_code,created_at,updated_at,stats_cache
0596ccd0-91a1-4d44-8235-f9cfa81bca32,7db932f8-85e7-4bd0-9599-9a05f411b3ca,2x2 B,2x2 B,ctwb20a,2x2 B Dual Masters,841,2.0,2.0,2658,apartments/CV_b.webp,CV,2022-08-26 03:53:53.771+00,2025-12-06 21:27:03.764729+00,"{""buildings"":[{""name"":""Main"",""count"":31,""propCode"":""CV""}]}"
16a87b97-91f4-4015-932e-7efc4e9dd0a9,bb8e217c-a626-4b0c-8a72-fdb9083a7a22,A11R 1x1 Renov,Repose,stn-a11r,Repose 1x1 Renov,707,1.0,1.0,1403,apartments/SB_1x1_707SF.webp,SB,2022-08-26 03:53:53.771+00,2025-12-06 21:27:03.764729+00,"{""buildings"":[{""name"":""Building 16"",""count"":12,""propCode"":""SB""},{""name"":""Building 12"",""count"":12,""propCode"":""SB""},{""name"":""Building 15"",""count"":12,""propCode"":""SB""},{""name"":""Building 6"",""count"":12,""propCode"":""SB""},{""name"":""Building 4"",""count"":8,""propCode"":""SB""},{""name"":""Building 20"",""count"":8,""propCode"":""SB""},{""name"":""Building 2"",""count"":8,""propCode"":""SB""},{""name"":""Building 17"",""count"":8,""propCode"":""SB""}]}"
18fb4aeb-d73f-4953-ad0d-0e23d3cdc722,bb8e217c-a626-4b0c-8a72-fdb9083a7a22,A1R 1x1,Aspire,stn-a1r,Aspire 1x1 Renovated,615,1.0,1.0,1382,apartments/SB_1x1_615SF.webp,SB,2022-08-26 03:53:53.771+00,2025-12-06 21:27:03.764729+00,"{""buildings"":[{""name"":""Building 19"",""count"":12,""propCode"":""SB""},{""name"":""Building 8"",""count"":12,""propCode"":""SB""}]}"
1c0c2def-6365-43d0-b768-c52b714fa831,bb8e217c-a626-4b0c-8a72-fdb9083a7a22,C1R 3x2,Luxury,stn-c1r,Luxury 3x2 Renovated,1242,3.0,2.0,2140,apartments/SB_3x2_1242SF.webp,SB,2022-08-26 03:53:53.771+00,2025-12-06 21:27:03.764729+00,"{""buildings"":[{""name"":""Building 10"",""count"":12,""propCode"":""SB""}]}"
1ef9ada4-3f7a-40c6-874d-2846adb99957,4446f2bc-a493-49e7-a675-70a6c8e7f527,3x2,3x2,"wpkc20a ",3x2,1100,3.0,2.0,3505,apartments/WO_3x2_1100_2_floorplan.webp,WO,2022-08-26 03:53:53.771+00,2025-12-06 21:27:03.764729+00,"{""buildings"":[{""name"":""472 N. Twin Oaks Valley"",""count"":8,""propCode"":""WO""},{""name"":""464 N. Twin Oaks Valley"",""count"":8,""propCode"":""WO""},{""name"":""460 N. Twin Oaks Valley"",""count"":8,""propCode"":""WO""},{""name"":""456 N. Twin Oaks Valley"",""count"":4,""propCode"":""WO""}]}"
22741823-ecdf-4454-8607-4fe78ed8d337,69233516-ae3c-4946-ae19-07813b8fe0b8,A2 1x1,Guadalupe,rdna10b,A2 1x1 Guadalupe,717,1.0,1.0,1500,apartments/RS_1x1_717SF.webp,RS,2022-08-27 04:34:19.59+00,2025-12-06 21:27:03.764729+00,"{""buildings"":[{""name"":""Building 6 Center East"",""count"":7,""propCode"":""RS""},{""name"":""Building 4 Back West"",""count"":7,""propCode"":""RS""},{""name"":""Building 5 Back East"",""count"":7,""propCode"":""RS""},{""name"":""Building 2 Front West"",""count"":7,""propCode"":""RS""},{""name"":""Building 7 Front East"",""count"":7,""propCode"":""RS""},{""name"":""Building 3 Center West"",""count"":7,""propCode"":""RS""},{""name"":""Building 8 Studios"",""count"":5,""propCode"":""RS""}]}"
33686c92-7584-42a4-8bb1-469aeb038d62,bb8e217c-a626-4b0c-8a72-fdb9083a7a22,A3R 1x1+Den,Serenity,stn-a3r,Serenity is 1x1 with Den and is Renovated,916,1.0,1.0,1528,apartments/SB_1x1_916SF.webp,SB,2022-08-26 03:52:41.872+00,2025-12-06 21:27:03.764729+00,"{""buildings"":[{""name"":""Building 17"",""count"":8,""propCode"":""SB""},{""name"":""Building 12"",""count"":8,""propCode"":""SB""},{""name"":""Building 2"",""count"":8,""propCode"":""SB""},{""name"":""Building 15"",""count"":8,""propCode"":""SB""},{""name"":""Building 20"",""count"":8,""propCode"":""SB""},{""name"":""Building 4"",""count"":8,""propCode"":""SB""}]}"
3520f8e4-275a-4ea3-9b74-e3eafcdbcbb4,69233516-ae3c-4946-ae19-07813b8fe0b8,E1 0x1,Trailhead Studio,rdne10a,E1 0x1 Trailhead Studio,579,0.0,1.0,1430,apartments/RS_0x1_579SF.webp,RS,2022-08-27 04:37:24.345+00,2025-12-06 21:27:03.764729+00,"{""buildings"":[{""name"":""Building 8 Studios"",""count"":10,""propCode"":""RS""}]}"
3c6def3a-6200-4ba4-a3b4-2eb2c459f573,69233516-ae3c-4946-ae19-07813b8fe0b8,A1 1x1,Mesquite,rdna10a,A1 1x1 Mesquite,621,1.0,1.0,1485,apartments/RS_1x1_621SF.webp,RS,2022-08-27 04:36:06.982+00,2025-12-06 21:27:03.764729+00,"{""buildings"":[{""name"":""Building 7 Front East"",""count"":3,""propCode"":""RS""},{""name"":""Building 4 Back West"",""count"":3,""propCode"":""RS""},{""name"":""Building 5 Back East"",""count"":3,""propCode"":""RS""},{""name"":""Building 2 Front West"",""count"":3,""propCode"":""RS""},{""name"":""Building 3 Center West"",""count"":3,""propCode"":""RS""},{""name"":""Building 6 Center East"",""count"":3,""propCode"":""RS""}]}"
45696361-6865-4939-b45f-052e5ef3772d,548cd5c1-7fbb-487e-8d14-926bfd3cc83a,2x2,2x2,"onbb20a ",2x2,852,2.0,2.0,2785,apartments/OB_2x2_floorplan.webp,OB,2022-08-26 03:53:53.771+00,2025-12-06 21:27:03.764729+00,"{""buildings"":[{""name"":""591 W. San Ysidro"",""count"":16,""propCode"":""OB""},{""name"":""611 W. San Ysidro"",""count"":16,""propCode"":""OB""},{""name"":""555 W. San Ysidro"",""count"":16,""propCode"":""OB""}]}"
52c8e384-a107-4509-806e-4b2a9b7cc465,69233516-ae3c-4946-ae19-07813b8fe0b8,C1 3x2,Palo Verde,rdnc20a,C1 3x2 Palo Verde,1407,3.0,2.0,1985,apartments/RS_3x2_1407SF.webp,RS,2022-08-27 04:37:24.345+00,2025-12-06 21:27:03.764729+00,"{""buildings"":[{""name"":""Building 7 Front East"",""count"":3,""propCode"":""RS""},{""name"":""Building 2 Front West"",""count"":3,""propCode"":""RS""},{""name"":""Building 3 Center West"",""count"":3,""propCode"":""RS""},{""name"":""Building 5 Back East"",""count"":3,""propCode"":""RS""},{""name"":""Building 4 Back West"",""count"":3,""propCode"":""RS""},{""name"":""Building 6 Center East"",""count"":3,""propCode"":""RS""}]}"
57f332c2-bc74-44cb-923b-9bf2c844fa43,7db932f8-85e7-4bd0-9599-9a05f411b3ca,1x1 D,1x1 D,ctwa10d,1x1 D,573,1.0,1.0,2080,apartments/CV_c.webp,CV,2022-08-26 03:53:53.771+00,2025-12-06 21:27:03.764729+00,"{""buildings"":[{""name"":""Main"",""count"":45,""propCode"":""CV""}]}"
58db1f29-2078-411a-ac50-f0b8f45e3221,69233516-ae3c-4946-ae19-07813b8fe0b8,A5 1x1,Sonara,rdna10e,A5 1x1 Sonara,879,1.0,1.0,1575,apartments/RS_1x1_879SF.webp,RS,2022-08-27 04:37:24.345+00,2025-12-06 21:27:03.764729+00,"{""buildings"":[{""name"":""Building 2 Front West"",""count"":6,""propCode"":""RS""},{""name"":""Building 7 Front East"",""count"":6,""propCode"":""RS""},{""name"":""Building 4 Back West"",""count"":6,""propCode"":""RS""},{""name"":""Building 6 Center East"",""count"":6,""propCode"":""RS""},{""name"":""Building 3 Center West"",""count"":6,""propCode"":""RS""},{""name"":""Building 5 Back East"",""count"":6,""propCode"":""RS""}]}"
653cd147-1bba-4592-938f-22f05a022145,548cd5c1-7fbb-487e-8d14-926bfd3cc83a,1x1,1x1,"onba10a ",1x1,637,1.0,1.0,2125,apartments/OB_1x1_floorplan.webp,OB,2022-08-26 03:53:53.771+00,2025-12-06 21:27:03.764729+00,"{""buildings"":[{""name"":""579 W. San Ysidro"",""count"":16,""propCode"":""OB""},{""name"":""543 W. San Ysidro"",""count"":16,""propCode"":""OB""},{""name"":""573 W. San Ysidro"",""count"":16,""propCode"":""OB""},{""name"":""567 W. San Ysidro"",""count"":15,""propCode"":""OB""}]}"
67af1514-8f9b-4eb4-bf0b-4ecf3fbedf6c,bb8e217c-a626-4b0c-8a72-fdb9083a7a22,A2R 1x1,Tranquility,stn-a2r,Tranquility 1x1 Renovated,796,1.0,1.0,1419,apartments/SB_1x1_796SF.webp,SB,2022-08-26 03:53:53.771+00,2025-12-06 21:27:03.764729+00,"{""buildings"":[{""name"":""Building 22"",""count"":12,""propCode"":""SB""},{""name"":""Building 14"",""count"":12,""propCode"":""SB""},{""name"":""Building 5"",""count"":8,""propCode"":""SB""},{""name"":""Building 3"",""count"":8,""propCode"":""SB""},{""name"":""Building 23"",""count"":8,""propCode"":""SB""}]}"
